Date    	Days	documents * accesses	documents * bytes	documents * visits	documents / accesses	documents / bytes	documents / visits
7/4/2004	7	              245.00	          3051426.00	               88.00	               39.00	           127812.00	               33.00
7/11/2004	7	              130.00	          1097489.00	               56.00	               26.00	            78807.00	               23.00
7/18/2004	7	               30.00	           235049.00	               19.00	               16.00	            65442.00	               15.00
7/25/2004	7	              126.00	          1993153.00	               59.00	               27.00	            78807.00	               25.00
8/1/2004	7	              118.00	          1636401.00	               52.00	               22.00	            69897.00	               19.00
8/8/2004	7	              121.00	          1271692.00	               62.00	               21.00	            65442.00	               18.00
8/15/2004	7	               40.00	           559498.00	               35.00	                9.00	            11982.00	                9.00
8/22/2004	7	              113.00	          1959894.00	               83.00	               16.00	            43167.00	               14.00
8/29/2004	7	              130.00	          1626687.00	               50.00	               33.00	           109992.00	               30.00
9/5/2004	7	               96.00	          1159534.00	               49.00	               17.00	            43167.00	               17.00
9/12/2004	7	              559.00	          7954071.00	               54.00	               27.00	            69897.00	               19.00
9/19/2004	7	              262.00	          4162180.00	               53.00	               23.00	            74352.00	               22.00
9/26/2004	7	              217.00	          3664815.00	               57.00	               29.00	            83262.00	               24.00
10/3/2004	7	              603.00	          9667242.00	               80.00	               97.00	           359472.00	               38.00
10/10/2004	7	              221.00	          2969393.00	               79.00	               34.00	           105537.00	               32.00
10/17/2004	7	              215.00	          3505226.00	               57.00	               27.00	            60987.00	               23.00
10/24/2004	7	              175.00	          1879876.00	               82.00	               25.00	            96627.00	               22.00
10/31/2004	7	              262.00	          4859395.00	               85.00	               42.00	           150087.00	               39.00
11/7/2004	7	               84.00	           732522.00	               47.00	               23.00	            69897.00	               21.00
11/14/2004	7	              179.00	          3160052.00	               67.00	               28.00	           105537.00	               26.00
11/21/2004	7	              164.00	          2124904.00	               72.00	               24.00	            78807.00	               23.00
11/28/2004	7	              280.00	          5065853.00	              139.00	               31.00	            96627.00	               28.00
12/5/2004	7	              412.00	          6792619.00	              216.00	               52.00	           203547.00	               47.00
12/12/2004	7	              169.00	          1038470.00	              103.00	               38.00	           114447.00	               34.00
12/19/2004	7	              179.00	          2268369.00	              102.00	               30.00	            92172.00	               29.00
12/26/2004	7	              385.00	          6240702.00	              137.00	               33.00	           127812.00	               29.00
1/2/2005	7	              535.00	          8247441.00	              119.00	               52.00	           190182.00	               48.00
1/9/2005	7	              239.00	          4436970.00	              152.00	               44.00	           150087.00	               38.00
1/16/2005	7	               85.00	           736751.00	               76.00	               23.00	            96627.00	               23.00
