Date    	Days	documents * accesses	documents * bytes	documents * visits	documents / accesses	documents / bytes	documents / visits
5/17/2009	7	              124.00	          1387282.00	              107.00	               31.00	           164488.00	               31.00
5/24/2009	7	              188.00	          3627297.00	               60.00	               30.00	           153144.00	               26.00
5/31/2009	7	              291.00	          5762184.00	              101.00	               47.00	           243896.00	               44.00
6/7/2009	7	              628.00	         12928167.00	              118.00	               70.00	           334648.00	               63.00
6/14/2009	7	              266.00	          5255954.00	              137.00	               40.00	           215536.00	               38.00
6/21/2009	7	              183.00	          2097734.00	               84.00	               28.00	           141800.00	               27.00
6/28/2009	7	              321.00	          6860133.00	               56.00	               42.00	           226880.00	               33.00
7/5/2009	7	              129.00	          2113753.00	               81.00	               38.00	           209864.00	               37.00
7/12/2009	7	              147.00	          2526478.00	               84.00	               35.00	           170160.00	               33.00
7/19/2009	7	              163.00	          1728392.00	              125.00	               36.00	           192848.00	               36.00
7/26/2009	7	              209.00	          3334554.00	               97.00	               39.00	           198520.00	               37.00
8/2/2009	7	              282.00	          2323075.00	              119.00	               50.00	           260912.00	               45.00
8/9/2009	7	              180.00	          2607359.00	               82.00	               38.00	           198520.00	               37.00
8/16/2009	7	              166.00	          1954738.00	              118.00	               34.00	           158816.00	               33.00
8/23/2009	7	              233.00	          3510568.00	              119.00	               41.00	           221208.00	               40.00
8/30/2009	7	              206.00	          2352260.00	              138.00	               38.00	           175832.00	               35.00
9/6/2009	7	              340.00	          5387071.00	              141.00	               45.00	           249568.00	               43.00
9/13/2009	7	              179.00	          2145386.00	              111.00	               46.00	           209864.00	               41.00
9/20/2009	7	              194.00	          1656972.00	              132.00	               39.00	           198520.00	               35.00
9/27/2009	7	              365.00	          7034633.00	              109.00	               42.00	           226880.00	               35.00
10/4/2009	7	              410.00	          6670312.00	              147.00	               59.00	           283600.00	               55.00
10/11/2009	7	              241.00	          3715174.00	              116.00	               37.00	           204192.00	               35.00
10/18/2009	7	              203.00	          3224202.00	              100.00	               37.00	           192848.00	               36.00
10/25/2009	7	              149.00	          1400478.00	              122.00	               39.00	           198520.00	               36.00
11/1/2009	7	              181.00	          2623636.00	               87.00	               31.00	           158816.00	               29.00
11/8/2009	7	              265.00	          3287376.00	              116.00	               56.00	           232552.00	               39.00
11/15/2009	7	              271.00	          2510568.00	              130.00	              114.00	           170160.00	               38.00
11/22/2009	7	              152.00	          1800452.00	               89.00	               23.00	           119112.00	               23.00
11/29/2009	7	              268.00	          3257400.00	              120.00	               31.00	           147472.00	               28.00
12/6/2009	7	              153.00	          1640593.00	              116.00	               35.00	           187176.00	               34.00
12/13/2009	7	              174.00	          2476847.00	              105.00	               26.00	           141800.00	               25.00
12/20/2009	7	              226.00	          2578239.00	              138.00	               42.00	           204192.00	               37.00
12/27/2009	7	              277.00	          3931777.00	              129.00	               56.00	           294944.00	               39.00
1/3/2010	7	              271.00	          4167069.00	              137.00	               49.00	           260912.00	               44.00
1/10/2010	7	              158.00	          2207942.00	               92.00	               36.00	           187176.00	               31.00
1/17/2010	7	              245.00	          3989853.00	               99.00	               46.00	           175832.00	               30.00
1/24/2010	7	              172.00	          2302144.00	              139.00	               30.00	           158816.00	               30.00
1/31/2010	7	              115.00	          1178846.00	               84.00	               33.00	           153144.00	               32.00
2/7/2010	7	              155.00	          2055982.00	              106.00	               35.00	           181504.00	               31.00
2/14/2010	7	              279.00	          4915264.00	              101.00	               41.00	           204192.00	               38.00
2/21/2010	7	              137.00	          1311239.00	               98.00	               34.00	           164488.00	               32.00
2/28/2010	7	              122.00	           856349.00	              101.00	               42.00	           209864.00	               39.00
3/7/2010	7	              104.00	           709214.00	               83.00	               30.00	           158816.00	               29.00
3/14/2010	7	              246.00	          4170105.00	               89.00	               43.00	           209864.00	               39.00
3/21/2010	7	              136.00	          1186781.00	               98.00	               33.00	           170160.00	               33.00
3/28/2010	7	               93.00	           639940.00	               71.00	               33.00	           164488.00	               33.00
4/4/2010	7	               98.00	          1067437.00	               55.00	               29.00	           153144.00	               27.00
4/11/2010	7	              132.00	          1125689.00	               79.00	               33.00	           187176.00	               28.00
4/18/2010	7	              166.00	          2236240.00	               78.00	               35.00	           175832.00	               33.00
4/25/2010	7	              118.00	           931648.00	               91.00	               47.00	           260912.00	               45.00
5/2/2010	7	              214.00	          3411251.00	               82.00	               48.00	           260912.00	               45.00
5/9/2010	7	              142.00	          1768394.00	               91.00	               53.00	           289272.00	               41.00
5/16/2010	7	              177.00	          2429542.00	              110.00	               31.00	           170160.00	               31.00
5/23/2010	7	              334.00	          7281578.00	              130.00	               46.00	           238224.00	               43.00
5/30/2010	7	              330.00	          7033421.00	              172.00	               41.00	           209864.00	               39.00
6/6/2010	7	              110.00	          1253217.00	               75.00	               36.00	           198520.00	               33.00
6/13/2010	7	              177.00	          2869200.00	               87.00	               41.00	           221208.00	               41.00
6/20/2010	7	              143.00	          1965462.00	              105.00	               38.00	           192848.00	               36.00
6/27/2010	7	              188.00	          2862057.00	              124.00	               37.00	           181504.00	               36.00
7/4/2010	7	              406.00	          8610580.00	              129.00	               39.00	           221208.00	               35.00
7/11/2010	7	              376.00	          8329399.00	              102.00	               44.00	           238224.00	               39.00
7/18/2010	7	              172.00	          2611661.00	               63.00	               54.00	           277928.00	               35.00
7/25/2010	7	               76.00	           751074.00	               59.00	               35.00	           181504.00	               32.00
8/1/2010	7	              149.00	          2268020.00	               85.00	               40.00	           198520.00	               39.00
8/8/2010	7	              155.00	          2112921.00	              112.00	               42.00	           204192.00	               41.00
8/15/2010	7	              175.00	          1736187.00	               90.00	               39.00	           158816.00	               38.00
8/22/2010	7	              124.00	           958814.00	              110.00	               44.00	           181504.00	               44.00
